"la_stud","sex","nonwhite","first.gen","finaid_ever","act_new","hs_gpa","credits_entry","grade","fail"
0,1,0,0,1,26,4,18,3,0
1,0,0,0,0,31,3.08,0,4,0
1,0,1,1,0,25,3.823,0,3,0
0,1,0,0,1,20,3.71,0,2,0
0,1,1,1,1,27,3.146,0,2,0
1,0,1,0,0,26,3.28,0,3,0
1,0,0,0,0,26,3.973,0,3.3,0
1,1,0,0,1,24,3.989,8,3.7,0
1,1,1,0,1,30,4,0,2.3,0
0,0,0,0,0,31,4,22,4,0
1,1,0,1,1,32,4,0,3.7,0
1,1,0,0,0,28,4,3,2.7,0
0,1,0,0,1,25,3.44,0,2,0
1,0,1,1,1,22,2.976,0,2,0
0,1,0,0,1,26,3.5,0,4,0
1,0,0,0,1,25,3.5,0,3.7,0
1,0,0,0,0,29,4,0,1.7,0
1,0,1,0,1,27,4,9,2.7,0
1,0,0,1,0,24,3.667,0,2.3,0
1,0,0,0,0,27,3.759,0,3,0
0,0,1,0,1,25,3.364,9,3,0
1,0,0,0,0,27,3.478,9,4,0
0,0,1,0,0,27,3.319,8,2,0
1,1,0,0,0,29,3.933,0,2.7,0
1,1,0,0,0,29,3.511,6,2,0
1,1,0,0,0,28,4,11,2,0
1,1,0,1,1,21,3.821,0,2.3,0
1,0,1,0,0,27,2.966,0,1.7,0
0,0,0,0,0,27,3.6,9,2,0
1,0,1,1,1,22,3.941,0,0,1
1,0,0,0,1,29,4,0,4,0
1,0,0,0,0,31,3.638,8,3.3,0
1,1,1,1,1,22,2.937,0,1,1
0,1,0,0,0,30,3.601,0,4,0
1,0,0,0,0,28,3.262,0,3.7,0
1,1,0,0,0,30,3.69,3,4,0
1,1,1,0,0,26,4,3,4,0
1,0,0,0,0,29,3.727,4,0.7,1
0,0,0,0,0,28,3.344,4,3.7,0
1,1,1,1,0,20,3.59,4,2,0
1,0,0,0,1,26,3.45,0,2.7,0
0,0,0,0,0,33,3.981,0,2.3,0
1,0,0,0,1,25,3.781,0,2,0
1,1,1,0,0,23,3,0,1,1
1,0,0,0,0,31,3.735,0,1,1
1,1,0,0,0,30,4,0,3,0
1,0,0,0,0,27,3.61,0,2,0
0,0,0,0,0,31,3.403,0,2,0
0,1,0,0,0,25,3.6,0,2,0
1,0,0,1,1,24,3.707,0,2.3,0
1,1,0,0,1,24,3.775,0,2.7,0
1,1,0,0,1,27,3.45,4,2.3,0
1,1,0,0,1,24,3.259,9,2,0
0,1,1,0,1,23,3.666,0,2,0
1,0,0,0,0,24,3.44,0,3.3,0
0,0,0,0,1,24,3.833,0,3,0
1,1,0,0,0,32,2.894,3,0,1
1,1,0,0,0,28,4,8,4,0
0,0,1,1,1,26,3.026,0,0.7,1
0,1,0,0,0,26,3.512,0,0,1
1,1,0,0,0,25,3.979,8,3.7,0
0,0,0,0,0,23,3.3,0,1.7,0
1,0,0,0,1,26,3.374,15,4,0
1,0,0,0,1,29,2.87,0,1.7,0
1,1,0,0,0,26,3.97,4,2.7,0
1,0,1,0,1,26,3.773,0,2.3,0
1,0,0,0,1,29,3.883,16,3,0
1,0,0,0,0,21,3.711,0,3,0
1,0,0,0,1,24,4,0,4,0
1,0,0,0,1,23,3.697,0,3,0
1,1,1,0,1,26,3.894,11,1.7,0
1,1,1,0,0,21,3.932,0,2,0
0,1,0,1,1,25,3.882,0,3.7,0
1,0,0,0,0,20,3.6,10,2,0
1,1,1,0,1,24,4,13,3.7,0
1,0,0,0,0,28,4,15,2.7,0
0,0,0,0,1,24,3.6,0,1.7,0
0,0,0,0,1,22,3.5,0,1.7,0
1,0,1,0,1,28,4,6,3,0
1,0,1,1,0,27,3.275,0,3,0
1,0,0,0,1,24,3.347,0,2,0
0,1,1,0,1,28,3.402,5,3,0
0,0,0,0,1,27,3.803,10,1,1
1,0,0,1,1,25,3.2,3,0,1
1,1,1,0,1,29,3.833,0,4,0
1,0,0,0,1,25,3.872,3,2.7,0
0,0,1,1,0,28,4,16,4,0
1,1,0,0,0,24,4,0,3,0
1,0,1,0,1,33,3.606,0,3.3,0
1,1,0,1,1,23,4,6,3,0
1,0,0,0,1,20,3.13,0,0,1
1,0,1,0,0,26,2.96,3,2.7,0
1,0,0,1,1,29,3.571,0,4,0
1,0,1,1,1,25,3.119,0,2,0
0,0,0,1,1,28,4,0,2.3,0
1,1,1,0,1,28,3.9,0,2,0
1,1,0,0,0,27,3.484,0,3,0
1,1,0,0,1,27,3.989,6,2,0
1,0,0,0,0,27,3.814,0,4,0
1,0,0,0,0,28,3.71,19,4,0
1,1,1,0,1,25,3.309,11,2.7,0
0,1,1,0,1,22,4,0,2.7,0
1,0,0,0,0,26,3.367,0,2.3,0
0,1,0,0,0,27,3.891,0,3.7,0
1,1,0,0,1,26,3.653,0,3.3,0
0,1,0,1,1,26,3.757,0,4,0
1,0,1,0,1,28,3.37,3,3.7,0
1,0,0,1,0,32,4,3,3.3,0
1,1,0,0,0,22,4,16,4,0
1,1,1,1,1,21,3.98,0,4,0
1,0,0,0,0,23,3.622,0,0,1
1,1,0,0,1,26,3.796,7,3.3,0
1,1,0,0,1,27,3.814,0,3,0
1,0,1,0,0,28,3.244,3,1.7,0
1,1,0,0,0,30,3.765,4,4,0
0,1,1,1,1,23,3.22,0,2,0
1,1,0,0,0,24,3.729,0,2.7,0
0,0,0,0,0,27,3.324,0,2.3,0
1,0,0,0,1,26,3.525,0,3,0
1,0,0,0,0,25,3.209,8,2.3,0
1,0,0,0,0,25,2.921,0,1,1
1,0,0,1,1,25,3.554,0,1,1
0,1,0,0,1,25,4,6,1,1
0,0,0,0,0,30,4,3,2,0
1,0,1,1,1,23,3.618,4,2,0
1,1,0,0,0,30,4,0,4,0
0,0,0,0,0,28,3.1,0,4,0
1,1,0,0,0,30,4,0,3.3,0
1,0,0,0,0,32,3.49,32,4,0
1,1,1,0,1,25,3.38,0,2,0
0,1,0,0,1,22,3.958,0,4,0
1,0,0,0,0,22,3.144,0,1.7,0
1,1,1,0,1,30,4,17,4,0
0,1,0,0,0,24,3.5,3,3,0
1,1,1,1,1,23,4,3,3.7,0
0,1,1,1,1,21,3.8,0,2.7,0
1,1,0,1,1,25,4,9,1,1
1,0,0,0,1,25,4,0,2.3,0
1,0,0,0,1,24,4,30,1.7,0
1,0,0,0,0,25,4,20,3,0
1,0,0,0,1,24,3.026,2.7,2,0
1,0,0,0,1,25,3.12,0,0,1
0,1,0,0,1,26,3.45,0,3,0
1,0,1,0,1,25,3.661,0,3,0
1,1,0,0,1,28,3.319,0,3.3,0
1,1,0,0,1,27,3.725,0,1,1
1,1,0,0,1,25,4,0,4,0
1,0,1,0,1,22,3.364,0,3.7,0
1,1,0,0,0,23,3.789,0,2,0
0,1,0,0,0,28,3.811,17,3,0
0,0,1,0,1,27,3.68,3,3,0
0,0,0,0,1,21,3.365,0,2,0
0,1,1,0,1,29,3.163,0,3,0
1,0,1,1,1,23,3.44,0,3.3,0
0,1,1,0,1,25,3.619,0,2,0
1,1,0,1,1,29,4,0,4,0
0,1,0,0,0,28,3.967,6,3.3,0
1,1,1,1,1,22,3.395,0,3.7,0
0,0,0,0,0,23,3.309,0,2,0
0,0,0,0,0,26,2.74,0,3.7,0
1,0,0,0,0,25,3.582,0,2.7,0
1,0,1,0,0,14,3.2,0,2,0
1,1,0,0,1,27,4,17,4,0
1,1,0,0,0,23,3.738,0,4,0
0,1,0,0,0,20,3.333,0,4,0
1,1,0,0,1,28,4,26,3,0
1,0,0,0,0,27,3.586,36,3.3,0
0,0,0,0,0,23,3.61,0,2,0
0,1,0,0,1,25,3.596,0,1,1
1,1,0,0,0,32,4,21,4,0
1,1,0,0,0,26,3.976,0,3.3,0
1,1,0,0,0,23,4,0,3.7,0
1,1,1,0,0,30,4,0,4,0
0,0,0,1,0,24,3.829,0,1.3,1
1,1,0,0,1,24,3.75,0,2.7,0
1,1,0,0,1,25,3.575,12,3.3,0
1,1,1,0,1,18,3.569,0,3.7,0
0,1,0,0,1,30,3.12,10,2,0
0,1,0,0,0,22,3.537,3,2.3,0
1,0,0,0,1,26,3.486,0,2.7,0
1,1,0,0,1,24,4,6,2,0
1,1,0,0,0,23,3.649,0,3,0
0,0,0,0,1,33,3.476,3,4,0
0,0,0,0,0,33,2.969,0,2,0
1,0,0,0,1,26,3.491,0,3,0
1,1,1,0,1,25,4,6,2,0
1,0,1,0,0,27,3.34,0,2.3,0
0,1,1,0,0,22,3.652,0,1.7,0
0,0,0,0,0,26,3.375,0,2.3,0
0,1,0,0,0,22,3.514,0,1.7,0
1,1,0,0,1,27,4,0,3,0
0,1,1,0,1,24,4,3,2.3,0
1,0,0,1,1,29,4,0,4,0
1,0,1,0,1,22,2.854,0,2.7,0
1,1,1,0,0,27,3.528,0,0.7,1
1,0,1,0,1,25,4,28,2.3,0
1,1,0,0,0,29,4,0,4,0
1,0,0,0,1,28,3.55,3,2.7,0
1,1,1,0,0,27,3.577,0,3,0
0,1,0,0,0,27,3.875,6,4,0
0,1,0,0,0,22,3.37,0,2.3,0
1,0,0,0,0,26,3.178,0,2.7,0
0,0,0,0,1,25,3.256,0,1,1
0,1,1,0,1,26,3.7,7,3.7,0
1,0,0,0,0,28,3.54,0,3.7,0
1,1,0,0,0,22,3.367,0,2.3,0
1,1,0,0,0,29,3.83,3,3.3,0
1,0,0,1,1,33,4,0,4,0
1,1,1,0,1,19,3.509,0,1,1
1,0,0,0,0,29,3.588,0,2.7,0
1,0,0,0,1,28,3.01,0,0,1
1,0,1,1,1,22,3.8,8,4,0
0,0,0,0,1,26,3.07,0,1.7,0
1,1,0,0,0,27,3.596,3,2.3,0
1,1,0,1,0,23,3.51,0,0,1
0,1,0,0,1,26,3.25,0,1.7,0
1,1,0,1,1,28,4,0,2.7,0
1,1,1,1,1,23,4,3,3.7,0
1,1,1,1,1,19,3.926,0,1,1
1,0,1,0,1,23,3.848,0,3.7,0
1,0,1,0,0,28,3.29,0,2,0
1,1,0,0,0,22,3.952,0,1,1
1,1,0,0,0,28,3.778,14,2.7,0
1,1,0,0,1,28,3.667,0,3.7,0
0,0,0,1,1,28,3.723,28,2,0
0,1,1,1,1,32,4,12,4,0
1,0,0,1,1,24,3.124,0,0,1
1,1,0,0,0,24,3.78,0,2.7,0
1,0,0,0,0,30,3.143,14,3,0
0,1,1,0,0,25,3.6,0,1.3,1
0,1,0,0,1,25,3.657,0,1.7,0
1,0,0,0,1,30,3.431,9,3,0
0,1,0,0,0,22,3.576,0,3.7,0
1,1,0,0,0,26,3.21,3,2,0
1,0,0,0,1,26,3.151,0,2,0
1,0,0,0,1,27,3.163,20,3.7,0
1,1,0,1,1,23,3.646,0,2.7,0
1,0,0,0,1,32,4,14,4,0
1,0,0,0,0,23,3.195,0,2,0
1,0,1,0,0,29,3.319,0,1.7,0
1,1,0,0,1,22,3.3,0,2.7,0
1,0,0,0,1,33,4,18,3,0
0,0,0,0,0,25,3.711,20,1,1
1,0,1,1,0,24,3.574,0,3,0
0,0,0,0,1,25,3.61,0,2,0
1,0,0,0,1,27,2.996,0,1,1
1,0,1,1,0,29,3.225,9,2,0
1,1,0,0,0,24,3.829,11,0,1
1,1,0,0,0,31,4,15,4,0
1,1,0,1,1,25,4,0,3.3,0
0,1,0,0,0,21,3.88,0,2.7,0
1,0,0,0,0,26,3.1,0,3,0
1,0,0,0,0,22,3.391,0,3.3,0
0,1,1,0,0,28,3.027,0,1.7,0
0,0,0,0,0,27,2.78,0,2,0
1,0,0,0,0,29,3.501,6,1.7,0
0,0,0,0,0,26,3.156,0,0,1
0,0,0,0,0,29,2.938,0,1,1
1,1,0,0,1,22,3.589,6,3,0
1,0,0,0,1,28,3.12,0,4,0
0,1,0,0,1,31,4,36,3,0
1,1,1,0,0,21,3.44,0,2,0
1,0,0,0,1,22,3.022,0,0,1
1,0,0,0,0,24,2.763,0,2.3,0
1,0,0,0,0,24,3.261,0,2.3,0
1,0,1,0,1,29,2.834,0,2.3,0
0,0,0,0,0,30,3.88,0,3.3,0
1,0,0,0,1,24,3.871,20,3,0
0,1,0,0,0,26,3.595,0,4,0
1,0,0,0,0,27,3.93,22,3.3,0
1,1,0,0,1,27,3.982,0,3.3,0
1,1,0,1,1,23,3.78,0,3.7,0
1,0,0,0,0,27,4,8,4,0
1,0,0,1,0,28,3.818,0,2.3,0
0,0,0,0,1,24,3.048,0,1,1
0,0,1,1,1,22,2.938,0,2,0
0,1,0,0,0,28,3.889,6,4,0
1,0,0,0,0,20,2.93,0,2,0
1,1,0,0,0,32,4,12,3.3,0
0,1,0,0,0,19,3.92,0,0,1
1,1,0,0,0,28,3.371,6,4,0
0,0,0,0,0,23,3.667,0,3.7,0
1,1,1,0,0,24,4,0,3.3,0
1,1,0,1,1,26,3.413,3,2,0
