"la_stud","sex","nonwhite","first.gen","finaid_ever","act_new","hs_gpa","credits_entry","grade","fail"
1,1,0,0,1,25,4,6,3.3,0
0,1,0,0,0,31,3.396,0,3,0
0,1,0,0,1,27,3.439,0,0,1
1,1,1,0,0,28,2.755,3,1,1
1,0,1,0,1,29,4,29,3.3,0
1,1,0,0,1,22,3.569,0,2.7,0
0,1,1,1,1,21,3.524,0,2.3,0
0,1,0,0,1,29,3.91,0,4,0
1,0,1,1,1,18,2.5,13,0,1
0,1,0,0,1,25,3.487,0,0.7,1
1,0,1,0,1,25,4,0,3,0
0,1,0,1,1,29,4,6,3.7,0
1,0,1,0,0,22,3.649,3,2,0
0,0,0,1,1,27,3.438,0,0,1
0,1,0,0,1,24,3.76,0,2,0
0,1,1,0,0,26,3.22,0,3,0
1,0,0,0,1,24,3.6,0,2.7,0
1,0,0,0,0,30,2.571,0,1,1
1,0,0,0,0,31,4,17,4,0
0,0,0,0,0,20,2.839,0,1.3,1
0,1,1,0,1,24,3.42,0,2,0
1,0,0,0,0,24,4,0,3.3,0
1,0,0,1,1,24,3.79,0,4,0
1,1,0,0,1,29,3.523,22,2,0
1,1,0,0,0,25,3.184,6,0,1
0,1,0,0,0,32,3.6,13,4,0
0,1,1,1,1,28,4,0,3,0
1,0,0,0,1,27,3.997,0,2,0
0,0,0,0,1,28,3.878,14,2,0
1,0,0,0,1,26,2.93,0,0,1
0,0,0,0,0,28,3.208,0,2,0
1,0,0,0,1,24,3.55,18,0,1
1,0,1,0,1,24,3.291,3,2.3,0
1,0,0,0,1,19,3.95,0,3,0
1,0,1,0,1,22,3.727,17,3.7,0
1,0,0,0,0,29,3.482,10,2,0
1,1,0,0,0,25,3.364,0,3.7,0
0,0,0,0,1,24,3.22,0,2.7,0
1,0,1,1,1,21,3.574,0,2.3,0
1,0,0,1,0,29,3.7,9,3.3,0
1,0,0,0,0,26,3.645,30,3,0
1,0,0,0,1,28,3.296,6,2.3,0
1,0,0,0,1,28,3.197,0,3,0
1,0,0,0,0,21,3.585,12,2,0
1,0,0,1,1,25,3.779,0,0,1
0,0,1,1,1,26,3.775,0,0,1
0,0,1,1,1,20,3.816,0,3.3,0
1,1,0,0,1,27,2.781,0,2,0
1,0,0,0,0,25,3.44,8,2.3,0
0,0,1,0,0,26,3.479,0,4,0
0,1,0,0,0,23,3.56,0,3,0
1,0,1,1,1,25,3.72,0,3.7,0
1,1,0,0,0,28,4,32,2.3,0
1,0,1,0,0,25,3.4,0,2.7,0
1,0,0,0,1,23,3.465,0,3.3,0
1,0,0,0,0,27,3.239,0,2.3,0
1,1,0,0,0,33,4,24,4,0
0,1,1,1,1,25,4,11,3.7,0
1,1,0,0,0,28,3.587,0,2,0
1,0,1,0,1,29,4,36,3.7,0
1,1,0,0,0,24,3.766,0,2.3,0
0,0,0,0,0,34,3.915,16,4,0
0,0,0,1,1,25,3.635,0,4,0
1,1,0,0,0,26,3.786,0,3.3,0
1,1,0,0,0,30,4,0,4,0
1,0,0,0,0,28,3.196,0,3,0
1,0,1,0,0,25,3.078,6,0,1
1,1,0,1,1,28,4,11,3.7,0
1,0,0,0,1,28,3.444,0,2,0
0,1,0,1,1,24,3.37,0,3,0
1,0,0,0,0,28,4,3,3.3,0
0,0,0,0,0,20,3.415,4,2.3,0
0,1,1,0,1,28,3.907,0,4,0
0,1,0,0,0,28,4,0,4,0
0,0,0,1,0,27,3.409,0,3,0
1,1,1,0,0,31,4,19,3.3,0
1,1,0,0,1,24,3.574,0,2,0
1,0,0,0,0,26,3.951,0,2,0
1,1,0,0,0,26,3.969,3,3,0
1,0,0,0,1,27,4,32,4,0
0,1,0,1,0,25,3.265,3,2.3,0
1,0,0,0,0,27,3.57,8,2.3,0
0,0,1,0,0,25,3.5,0,0,1
1,0,1,0,0,20,3.467,24,1.7,0
1,0,0,0,0,29,3.13,0,1,1
1,1,1,0,1,30,4,17,4,0
1,0,0,0,0,28,3.3,0,2.3,0
1,1,0,1,1,27,3.411,0,2,0
1,0,0,0,0,26,3.05,0,3.3,0
1,1,0,0,0,21,4,0,2.3,0
1,1,0,0,0,27,3.419,0,2,0
0,0,0,0,0,24,3.553,0,0,1
0,1,1,0,1,31,3.739,9.9,2.7,0
1,0,0,0,1,26,3.641,8,2.3,0
0,1,1,0,0,26,3.23,0,0,1
1,0,0,0,0,23,3.37,0,1.7,0
0,0,0,0,1,31,3.412,9,4,0
0,1,0,0,0,31,3.85,0,3.3,0
1,0,1,0,0,19,2.975,0,0,1
1,0,1,0,1,29,4,19,2.3,0
1,0,0,0,0,27,3.267,0,1.7,0
1,1,0,0,1,21,3.48,0,1,1
0,1,0,1,1,24,3.372,0,0,1
1,1,0,0,0,26,4,0,3,0
1,0,0,0,1,29,3.154,0,2.3,0
0,0,0,0,0,27,3.6,0,0,1
0,1,0,0,1,22,3.233,0,1.7,0
0,0,0,0,0,27,3.27,4,2,0
1,1,0,0,0,25,3.556,0,2.3,0
0,1,0,0,0,32,3.833,18,4,0
0,1,0,0,0,26,3.055,0,3.7,0
0,0,0,0,1,25,3.43,0,0,1
0,0,0,0,0,27,3.024,0,2.3,0
1,0,0,0,0,27,3.46,0,3.7,0
0,0,1,0,0,25,4,0,3,0
1,1,0,0,1,33,4,27,4,0
0,1,0,0,0,28,3.5,0,3,0
0,1,1,0,0,29,3.46,0,2.3,0
1,1,0,0,1,28,4,0,2,0
0,0,0,0,0,30,3.725,8,4,0
0,0,0,1,1,25,3.053,0,1,1
1,1,0,0,0,30,4,24,3.7,0
1,0,0,0,1,26,4,9,1.7,0
1,1,1,0,0,23,4,6,3.7,0
1,0,1,1,1,16,2.951,0,2.3,0
1,0,0,1,1,32,2.932,0,1,1
1,0,0,0,0,26,3.488,0,2.7,0
1,0,0,0,1,21,3.502,0,3,0
0,0,0,0,1,21,3.45,0,1,1
1,0,0,0,0,25,3.25,0,1.7,0
0,1,1,1,0,20,3.406,0,2.7,0
1,1,0,0,0,32,4,19,4,0
